metric,size,dims,result
corr,10,5,0.16744750628137808
pMSE,10,5,0.16558733598573847
ks_test,10,5,0.33999999999999997
pca_$\Delta\lambda$,10,5,0.04432509880972729
pca_$\Delta\theta$,10,5,0.24213220507760205
corr,10,5,0.13807807799441527
pMSE,10,5,0.07877739480537756
ks_test,10,5,0.38
pca_$\Delta\lambda$,10,5,0.13372742352411665
pca_$\Delta\theta$,10,5,0.2650284975072769
corr,10,5,0.2118161981858299
pMSE,10,5,0.14342589561647356
ks_test,10,5,0.32
pca_$\Delta\lambda$,10,5,0.06394827990742953
pca_$\Delta\theta$,10,5,0.8109156047958552
corr,10,5,0.14518650409830863
pMSE,10,5,0.1542463803889777
ks_test,10,5,0.33999999999999997
pca_$\Delta\lambda$,10,5,0.17183851496934457
pca_$\Delta\theta$,10,5,0.2527115579692435
corr,10,5,0.14722490886479667
pMSE,10,5,0.06952992460882294
ks_test,10,5,0.26
pca_$\Delta\lambda$,10,5,0.12489852550020573
pca_$\Delta\theta$,10,5,0.34211405280473395
corr,10,5,0.33330047854550593
pMSE,10,5,0.13109528105564636
ks_test,10,5,0.34
pca_$\Delta\lambda$,10,5,0.3018080567654067
pca_$\Delta\theta$,10,5,0.7109210176855959
corr,10,5,0.23020099674784303
pMSE,10,5,0.11274449375026459
ks_test,10,5,0.28
pca_$\Delta\lambda$,10,5,0.18355429653381503
pca_$\Delta\theta$,10,5,0.3579518074870887
corr,10,5,0.17109195045812528
pMSE,10,5,0.21603347917730814
ks_test,10,5,0.32
pca_$\Delta\lambda$,10,5,0.08483460533131533
pca_$\Delta\theta$,10,5,0.4816021201977652
corr,10,5,0.18587759216813654
pMSE,10,5,0.13061806562422368
ks_test,10,5,0.32
pca_$\Delta\lambda$,10,5,0.14464660713161268
pca_$\Delta\theta$,10,5,0.293713189597466
corr,10,5,0.11983779374812602
pMSE,10,5,0.09800272817268048
ks_test,10,5,0.33999999999999997
pca_$\Delta\lambda$,10,5,0.04972519142455072
pca_$\Delta\theta$,10,5,0.47626401376751587
corr,10,5,0.11975753427907296
pMSE,10,5,0.2048534983847216
ks_test,10,5,0.4
pca_$\Delta\lambda$,10,5,0.07373004714522423
pca_$\Delta\theta$,10,5,0.2067612154927798
corr,10,5,0.1738412578215489
pMSE,10,5,0.200297849614764
ks_test,10,5,0.44000000000000006
pca_$\Delta\lambda$,10,5,0.04180112014824292
pca_$\Delta\theta$,10,5,0.3118676228859151
corr,10,5,0.16242774565119952
pMSE,10,5,0.22731067477702824
ks_test,10,5,0.36000000000000004
pca_$\Delta\lambda$,10,5,0.27334710739737517
